abilitet	ability
jordsjelv	earthquake
jubileum	jubilee
jubla	shout for joy
judaism	Judaism
jude	Jew
judisk	Jewish
juksa	cheat
jul	Xmas,Winter Solstice
jul	wheel
jul	Xmas
jula	spank
juli	JULY
juling	spanking
julstol	wheelchair
julvagn	wheelbarrow
jumper	jumper (clothing)
jungfru	virgin
juni	JUNE
junior	junior
junior	Jr
juri	Jury
jurisdiksjon	jurisdiction
jurnalist	journalist
jurnalistikk	journalism
just	just
justera	adjust
juvenil, ungdoms-	juvenile
kabaret	cabaret
kabel	cable
kabin/hute	cabin
kafeinn	caffeine
kafeinn-fri	decaffeinated
kafej	café
kafejnn-fri	decaffeinated
kafeteria	cafeteria
kaffe	coffee
kagge	keg
kai	quai
kaj	quay
kajakk	kayak
kake	cake
kaki	khaki
kala	call
kala/kalar	calls
kalad	named
kalad	called
kalanam	nickname
kalelse	summons
kalender	calendar
kalk/lind/limett	lime
kalkon	turkey
kalkulator	calculator
kalori	calorie
kalsium	calcium
kalv	calf
Kalvinism	Calvinism
kalvköt	veal
kamaksel	camshaft
kamej	cameo
kamel	camel
kamera	camera
kamgarn	worsted
kamp/kempa	struggle
kampagna	campaign
kampanje	campaign
kampjon	champion
kan (irreg 1)	can
kan ike	cannot
kan ike	can't
kanad ike	couldn't
kanad, skul kana	could
Kanada	Canada
kanadensisk/kanadenser	Canadian
kanal	canal
kanarifogel	canary
kandidat	candidate
kanel	cinnamon
kanin	rabbit
kano	canoe
kanser	cancer
kansje	perhaps
kansje, moske	Maybe
kant	edge
kant	verge
kantine	canteen
kaos	chaos
kaotisk	chaotic
kapable	capable
kapasitet	capacity
kapelann	chaplain
kapell	chapel
kapital	capital
kapitalisme	capitalism
kapitalist	capitalist
kapitel	Chapter
kapitulasjon	capitulation
kapitulasjon, upgivning	surrender (n)
kapitulera, giva sej upp	surrender (v)
kappe	cloak
kapra	hijack
kaprer	hijacker
kapsel	capsule
kaptejn	captain
kar	guy
karaff	carafe
karakter	character
karakterisera	characterize
karakteristisk	characteristic
karamell	caramel
karantene	quarantine
karat	carat
kardinal	cardinal
kariere	career
karnaval	carnival
karote	carrot
karpe	carp
karpenter	carpenter
karpete	carpet
karri	curry
kart	map
kartong	carton
kartotek/reke	file (n)
karusell	merry-go-round
kasavalvt	vault (bank)
kasera	discard
kaserer	cashier
kaserne	barracks
kasino	casino
kasjmir	cashmere
kast/a	cast
kasta	toss
kastanje	chestnut
kastanjebrun	auburn
kat	cat
katakombe	catacomb
Katalansk/katalann	Catalan
katalog	catalogue
Katalunya	Catalonia
katarr	catarrh
katastrofal, desaströs	disastrous
katastrofe	catastrophe
katastrofe, desastre	disaster
katedrall	cathedral
kategori	category
katolisism	catholicism
katolsk	Catholic
kaviar	caviar
kedelig	boring
keiserlig, riks-	imperial
kejle	kettle
kejser	emperor
kejserine	empress
keks	cracker
kela med	cuddle
Kelt	Celt
keltisk	Celtic
kemij	chemistry
kemisk	chemical
kempa/kamp	fight
kempande	fighting
kenguru	kangaroo
kennel, hundehus	kennel
kennemerke	feature
kenner	connoisseur
kenskap	knowledge
Kenya	Kenya
kenyansk/kenyer	Kenyan
kephest	hobby-horse
ker	dear
keramikk	pottery
keramikk	ceramic
kereste	darling
kerne	core
kerosene	kerosene
kerre	cart
kertegna	pet (v)
kertegna	caress
kertel	gland
keve	jaw
kijka	peep
kilde	well (n)
kilo	kilogram
kilobajt	kilobyte
kilometer	kilometer
Kina	China
Kina	China
kinesisk	Chinese
kinesisk/kiness	Chinese (a/n)
kinin	quinine
kinn	cheek
kinnbejn	cheekbone
kino	cinema
kinsjegar	sideburns
kiosk	kiosk
kirkar	churches
kirke	church
kirke-servant	sexton
kirkegord	graveyard
kirseber	cherry
kirurg	surgeon
kirurgie	surgery
kitla	tickle
kittel	cauldron
kiuling	chicken
kiundig	skilled
kiundig	skilful
kius/a	kiss (n/v)
kjöl	keel
klang/klanga	sound
klapa/aplaudera	clap
klar over	aware
klar/ridda	clear
klarjöra	elucidate
klarjöra	clarify
klarlig	clearly
klassar	classes
klasse	Class
klassekamerad	classmate
klasserum	classroom
klassisk	classical
klatra/klatring	climb
klausul	clause
klave	key
klavebord	keyboard
klavehull	keyhole
klebig	sticky
klebtejp	tape (adhesive)
kleda av sej	undress
kleda po sej	get dressed
kleda sej om	change clothes
kleda sej/kledning	dress (v/n)
kledar	clothes
kleft	chasm
klejre	clay
klesplagg	garment
klient	client
klima	climate
klinikk	clinic
klipa/gunga	rock
klipe/junga	rock (n/v)
klippe	cliff
kliufte/kliufta	wedge (n/v)
klo	claw
kloakk	sewer
klöe/klöa	itch (n/v)
klöft	cleft
klöft	gorge (n)
kloke	bell
kloke	clock
kloken	o'clock
klor	chlorine
kloster	cloister
kloster	abbey
klöuva	split (v)
klöver	clover
klovn	clown
klubb, forening	Club
klubbe	cudgel
klukke/a	chuckle
klump	lump
klumpad	lumpy
klutsj/grep	clutch
knaka	tap (verb)
knap	scarce
knap/knapa	button (n/v)
knaphet	scarcity
knaphet	shortage
knapnol/-era	pin (n/v)
knapt	scarcely
kne	knee
knekt	knave
knela	kneel
kneskol	kneecap
knirka	creak
kniv	Knife
knop	bud
knott	knob
knuke	knuckle
knul/a	fuck (n/v)
knuland	fucking (adj)
knura	grumble
knute/knuta	knot (n/v)
knuttneve	fist
kö	queue
koagulera	coagulate
kode	code
kofert	trunk (box)
koinsida	coincide
koinsidens	coincidence
koka	cook (v)
koka/biul	boil
kokain	cocaine
köken	kitchen
kokonöt	coconut
koktejl	cocktail
kol	cabbage
kolapsera	collapse
kold	cold
koldbord	buffet
kole	toffee
kolega	colleague
kolektiv	collective
köleskap	refrigerator
kolidera	collide
kölig	chilly
kölig/kul	cool (a/slang)
köligskap	fridge
kolisjon	collision
kolisjon/kolidera	crash
kolje	haddock
kolonell	colonel
koloni	colony
kolonne	column
kolonne	column
kolor-blind	color-blind
kolor/a	color
kolorad	colored
kolorik, fargerik	colorful
koma	come
koma	comes
koma	coma
komad	came
komand/era	command
komanda/e	command
komande	coming
komande, mötande	oncoming
komander	commander
kombat/era	combat
kombinasjon	combination
kombinera	combine
komedie	comedy
komentera/koment	comment
komers	Commerce
komersiel	commercial
komfort	comfort
komfortabel	comfortable
komiker	comedian
komisjon	Commission
komisk	comic
komisk	funny
komitej	Committee
komma	comma
kompakt	compact
kompakt disk	compact disc
kompanie/firma	Company
kompanjon	companion
komparasjon	comparison
komparativ	comparative
komparera	compare
komparerad	compared
kompasjon, medlidanhet	compassion
kompass	compass
kompatible	compatible
kompelera	compel
kompensasjon	compensation
kompensera	compensate
kompetera	compete
kompetera	compete
kompetisjon	competition
kompetitör	competitor
komplejna	complain
komplejnt	complaint
kompleks	complex
kompleksjon	complexion
komplesjon	completion
komplet/era	complete
kompleterad	completed
kompletlig	completely
komplikera	complicate
komplikerad	complicated
kompliment/era	compliment
komplott/plotera	plot (n/v)
komponentar	components
komponera	compose
komponist	composer
komportera sej	behave
komportera sej dorligt	misbehave
komposisjon	composition
komprehensiv	comprehensive
komprisera	comprise
kompromisera	compromise (v)
kompromiss	compromise (n)
komputer	computer
komunikasjon	communication
komunikera	communicate
komunisme	communism
komunist	Communist
komuter	commuter
kön, sekse	sex
kondisjon	condition
kondisjona/r	conditions
kondisjonell	conditional
kondisjoner	conditioner
kondom	condom
kondukt/a	conduct
kondukt/a	conduct
kondukta en sak	plead
konduktad	conducted
koneksjon, lenke	connection
konekta, lenka	connect
konfeksjons-	ready-made
konferens	conference
konferens	conference
konfesa	confess
konfesjon	confession
konfidens	confidence
konfidens	confidence
konfidensiell	confidential
konfident	confident
konfirma	confirm
konfirmasjon	confirmation
konfiskera	confiscate
konflikt	conflict
konfrontera	face (v)
konfusa	confuse
konfusa	confuse
konfusjon	confusion
konfusjon	confusion
konge	king
kongelig	royal
kongerike, rike	kingdom
Kongo	Congo
kongress	Congress
konjakk	cognac
konkera	conquer
konkerer	conqueror
konkering	conquest
konklusjon	conclusion
konkret	concrete
konkuranse	contest (n)
konkusjon	concussion
konmemorasjon	commemoration
könn	gender
könns-	genital
könns-sjukdom	venereal disease
konotasjon	connotation
konsakra	consecrate
konsekvens	consequence
konsentrasjon	concentration
konsentrera	concentrate
konsentrera	gather (intr)
konsepsjon	conception
konsept	concept
konsern/a	concern
konsernad	concerned
konsernande	concerning
konsert	concert
konservativ	conservative
konsesjon	concession
konsidera	consider
konsiderabel	considerable
konsiderad	considered
konsiderande	considering
konsiderasjon	consideration
konsiderat	considerate
konsil	council
konsis	concise
konskript	conscript
konspira	conspire
konstant	CONSTANT
konstatera	ascertain
konstruera	construct
konstruksjon	CONSTRUCTION
konsul	consul
konsulat	consulate
konsultasjon	consultation
konsultera	consult
kontakt	contact
kontejner	container
kontemporarisk	Contemporary
kontempte	contempt
kontinent	continent
kontinental	continental
kontinua	continue
kontinua	keep on
kontinuad	continued
kontinual	continual
kontinualig	continually
kontinuande	continuing
kontinuerlig	continuous
konto/raportering	account
kontor	Office
kontorist	clerk
kontrakt	contract
kontraseptiv	contraceptive
kontrast	contrast
kontribuera	contribute
kontribusjon	contribution
kontroll/kontrolera	control
kontroversiell	controversial
konturr	contour
konveniens	convenience
konvenient	convenient
konvensera	convince
konvent	convent
konvertera, omvenda	convert
konviksjon	conviction
konvikte/a	convict
konvolutt	envelope (n)
konvulsjon	convulsion
kooperasjon	cooperation
kooperativ	cooperative
koordinasjon	coordination
köpa	buy
köpa	purchase
köpad	bought
köper	purchaser
köper	buyer
kopi/era	copy
kopla av	switch off
kopla po	switch on
koplingsbord	switchboard
köpman	merchant
köpman	shopkeeper
kopp	cup
kopper	copper
koppor	smallpox
kor	Corps
kor	choir
köra fort	speed (v)
köra/vej/köretur	drive (v/n/n)
körad	drove
korall	coral
korde	cord
körebane	roadway
korekt/korigera	correct
korektnes	correctness
körer, sjoför	driver
korespondanse	correspondence
korespondent	correspondent
korespondera	correspond
koridor	corridor
korigering, koreksjon	correction
korint	currant
kork	cork
korketrekker	corkscrew
korn	grain
korn	corn
kornoker	cornfield
korporasjon	corporation
korps	corpse
korpulent	corpulent
korpulentt, tik, kraftig	stout
korsett	corset
korsfesta	crucify
korsfestning	crucifixion
kort	short
kort	brief
kortine	curtain
kortt-giver/forhandler	dealer
korupsjon	corruption
korupt	corrupt
koselig	cozy
kosmetikk	cosmetics
kost	broom
kost/a	costs
kostnad, pris/kosta	cost
köt	meat
kotelett	cutlet
kotonn	cotton
kött	flesh
köue	bunk
kovarde	coward
kovardelig	cowardly
kovera/kover	cover (v/n)
koverad	covered
kraba	crawl
krabe	crab
kraft, makt/energi	power
kraft/fors/era	force
kraftar/forsar	powers
kraftar/forsar	forces
kraftverk	power station
kragebejn	collarbone
kram/a	hug (n/v)
krampe	clamp
krampe	cramp (n)
kran	crane
kran	tap (faucet)
krangel	row [rau] n
krangel/krangla	quarrel (n/v)
krater	crater
krav/kreva	claim
kredit	credit
kreditor	creditor
kreditt/gu-skriva	credit
krem	cream
krematera	cremate
krematering	cremation
kreva, rekira	require
krevad, rekirad	required
krevar	CLAIMS
kribe	manger
kridsa/kors	Cross
krig	war
krigsjip	man-of-war
kriket	cricket
krime, brot	crime
kriminalitet	criminality
kriminell	criminal
krimpa	shrink
krimpa-fri	shrinkproof
krimson	crimson
kripa	creep
krise	emergency
krise	crisis
krisis	crisis
Krist	Christ
kristall	crystal
kristen	Christian
Kristiansk/kristian	Christian
Kristus	Christ
krit	ckalk
kritiker	critic
kritikk	criticism
kritisera	criticize
kritisk	critical
kriuke	crutch
kriuter	spice
kriutrad	spicy
kriutrad	spiced
krok	hook
kroke	crow
kroket	crooked
krokke	pitcher
krokodille	crocodile
krom	chromium
kronblad	petal
krone/krona	crown
kronisk	chronic
kronologisk	chronological
krop	body
kropar	bodies
krosjeja	crochet
kruke	jar
krull/a	curl (n/v)
krullad	curly
krus	mug
krusade	crusade
krusifiks	crucifix
krutt	gunpowder
ku	cow
Kuba	Cuba
kubansk/kuban	Cuban
kube	log
kube	cube
kul	coal
kule	gown
kule	bullet
kule	frock
kulkasta	upset (v)
kultivera	cultivate
kultiverad	cultured
kultur	culture
kultural	cultural
kuna/makt	might (adv/n)
kunde	customer
kunst	Art
kunstar	Arts
kunstig	artificial
kupele	dome
kupert	hilly
kupong	coupon
kupong	voucher
kurasje	courage
kurasjös	courageous
kuriositet	curio
kurs	course
kurs/kursus/löp	course
kursar	courses
kursivskrift	italics
kursted	spa
kurt	card
kurtjös, höflig	courteous
kurv	basket
kurv	hamper (n)
kurvad	curved
kurve	curve
kurve	turning
kusine	cousine
kusjon	cushion
kusme	mumps
kust	seaside
kust/glida	Coast (n/v)
kustodie	custody
kustodier	custodian
kuvera	cover
kvadrat/-isk	SQUARE (n/a)
kvalifikasjon	qualification
kvalifisera/... sej	qualify (tr/intr)
kvalifiserad/kompetent	qualified (1/2)
kvalitet	quality
kvantitet	quantity
kvart, kvarter	quarter
kvarterlig	quarterly
kvav	stuffy
kveg	cattle
kvejte	halibut
kvela	choke
kvelsmat	supper
kveri/-a	query (n/v)
kviksölv	mercury
kvilt	quilt (n)
kvina	woman
kvinar	women
kvist	twig
kvita sej med	dispose of
kviz	quiz (n)
kvote	quota
labirint	labyrinth
labirint	maze
laboratorium	laboratory
laborforening	trade union
lag	layer (n)
lag	team
laga, jöra	make
laga, jöra	makes
lagande, jörande	making
lager	depository
lager/hava po lager	Stock
lager/lagra	store
lagerplass/stasjon	depot
lagom	just right
lagra	store (v)
lagring	storage
lagune	lagoon
laken	sheet (bed)
lakk	lacquer
laks	salmon
laksativ	laxative
lam	lamb
lam, halt	lame
lama	paralyse
lamentable	lamentable
lampe	lamp
lampesjerm	lampshade
land	country
land/landa	land (n/v)
landar	countries
landbruk/a	farm
landbruker	farmer
landbrukshus	farmhouse
landerett	launderette
landgang	gangway
landlig	rural
landmerke	landmark
lands-	rustic
landsby	village
landskap	landscape
landskap	scenery
landsman	countryman
langkule	robe
langs	along
langsom	slow
langsomt	slowly
lanterne	lantern
Laos	Laos
lap	tag (n)
lapell	lapel
lappe/lappa	patch (n/v)
laringitis	laryngitis
last	freight
last, frakt	cargo
last/a	load (n/v)
lastbil	lorry
lastbil	Truck
lasterum	hold (n)
lastkaj	wharf
Latinamerika	Latin America
latinamerikansk	Latin American
latinsk	Latin
latitud	latitude
latter	laughter
lav	low
lavare/senka	lower (a/v)
lavland	lowlands
le'er	leather
lea	laugh
led	joint (anat)
leda, stira/ledning	lead (v/n)
ledad	headed
ledande	leading
legad	laid
legal, retslig	legal
legalisasjon	legalization
legasjon	legation
legat	legacy
legga, plasera, seta	lay
legitimitet	legitimacy
legitimm	legitimate
lej av, trötad av	tired of
lej for	sorry (a)
leja	hire (rent)
leja (ut)	lease (v)
leja/leje	rent (v/n)
leje-kontrakt	lease (n)
lejeboer	lodger
lejkman	layman
lejr/kampera	camp
lejsa/lejsad	read (pres/past)
lejsalampe	reading lamp
lejsasal	reading room
lejsning	reading (n)
leka/lekasje	leak (v/n)
lekig	leaky
leksjon	lesson
lektur	lecture
lem	limb
lena sej	lean (v)
lengde	length
lengsel	longing (n)
lengta	yearn
lengting	yearning (n)
lenke/forbinda	link (n/v)
lepar	lips
lepepomade	lip balm
lepestift	lipstick
leprosie	leprosy
ler	Clay
lera	teach
lera sej	learn
lerad	learned
lerad	taught
lerande/lere	teaching
lerande/lerning	learning
lerbok	textbook
lerer	schoolteacher
lerer	teacher
lerer	schoolmaster
lererar	teachers
lerke	lark
leselig	legible
let	easy
leta efter	hunt for
lethet	facility
lethet	ease
letlig	easily
letning, help, relief	relief
leva	lives (v)
leva-rum, stue, parlör	living-room
leva/nde; direkt	live (v/a;tv)
levabröd	livelihood
levad	lived
levande	alive
levande	living
lever	liver
lever	lever
levera	deliver
levering	delivery
levetid	lifetime
li	shelter (from wind)
li, bakke	hillside
liabilitet	liability
libanesisk/libaness	Lebanese
Libanon	Lebanon
liberal	liberal
liberasjon	liberation
Liberia	Liberia
liberiansk/liberian	Liberian
liga/liva/lövn	lie
lik	alike
lik	similar
lika/lik/liksom/liksom	like (v/a/c/p)
likad	liked
like	equally
like-sindad	like-minded
likeso	likewise
likevel	however
likhet	equality
likhet	resemblance
likhet	semblance
likhet, similaritet	similarity
likna	resemble
liknande	similar
likörr	liqueur
likris	liquorice
likvel	However
likvid/e	liquid a/n
lilje	lily
lilla	mauve
lim	paste
lim	glue
limit/a	limit (n/v)
limitad	limited
limonade	lemonade
lindetre	limetree
linen	linen
linjar	lines
linje	line
linse	lens
lion	lion
liontann	dandelion
lisensa	license (v)
lisense	licence (n)
lisna (po)	listen (to)
list/a	list (n/v)
listener	lisner
lita po/tro	trust (v/n)
litel barn	toddler
litel barn	tot
litel pake	packet
litel, liten, smo (pl)	little
liten, litel, smo (pl)	small
litenare	smaller
liter	liter (litre)
literarisk	literary
literatur	literature
liudisk	noisy
liudpote	silencer
liudt, höu	loud
liuga/lögn	lie (tell a) (v/n)
liukas	succeed
liuke	happiness
liun	lightning
liung	heather
liuskaster	searchlight
liuske	groin
liuspere	lightbulb
liuspere	lightbulb
liusröd	pink
liustig	jolly
liustorn	lighthouse
liv	life
liv-vakt	bodyguard
livbelte	lifebelt
livlig	lively
livlig/kölig	brisk
livmoder	womb
livsforsikring	life insurance
ljudband	tape (recording)
ljus/ljus-	light (n/a)
lod	lot
loda	solder (v)
lode-bolt	soldering-iron
loft	attic
löfta/hejs	lift (v/n)
logikk	logic
logisk	logical
lojall	loyal
lök	onion
lokal	local
lokalisera	locate
lokaliserad	located
lokasjon	location
lokasjon	location
löke	loop (n)
lokk	lid
lokomotiv	locomotive
lome	pocket
lome-törkle	handkerchief
lomebok	pocketbook
lomelikt	flashlight
lon	mortgage
lon	loan (n)
lön	wage
lön	wages
lona bort	lend
London	London
long	long
longare	longer
longbuksar	trousers
longdegrad	longitude
lönn	maple
löp/ras	race
löpa	run
löpa	runs
löpad	ran
löpande/strömande	running
lor	thigh
lord, herre	Lord
lord-hus	mansion
lord-hus	manor house
lördag	Saturday
lös	loose
los, slus	lock (n)
los/a	lock (n/v)
losa	lock (v)
losa op	lock up
lösapengar	ransom
losji	lodgings
losjon	lotion
lösna	loosen
lösna	detach
lot os	let's
lota	let
lotteri	lottery
lov	law
lovar	laws
lovaten	low tide
lovlig	lawful
luben	plump
lubrikasjon	lubrication
lubrikera	lubricate
ludikrös	ludicrous
lufer/vandra	tramp (n/v)
luft	air
luft-	pneumatic
luft-höd	airhead
luft-kondisjonering	air conditionin
luftfilter	air filter
lufthavn	airport
luftig	airy
luftpost	airmail
luftsiuke	air sickness
lufttet	airtight
luka	shut
lukad	closed
luke/ruga ut	hatch (n/v)
lukka	close (v)
luksuriös	luxurious
luksus	luxury
lukt, stink	smell (n)
lukta, stinka	smell (v)
lumbago	lumbago
luminös, liusande	luminous
lund	grove
lunge	lung
lunkenvarm	lukewarm
lunsj	luncheon
lus	louse
lust	zest
lustjakt	yacht
madam	madam
madam	Mrs
madrass	mattress
magasinn	warehouse
magasinn	storehouse
magazinn	magazine
mage	gastric
mage	belly
mage	stomach
mager	lean (a)
mageverk	stomach ache
magi/magisk	magic (n/a)
magiker	magician
magistrat	magistrate
magnetisk	magnetic
magnifikk	magnificent
mais	maize
maj/mo	may (cal/v)
major	major
majoritet	majority
makrell	mackerel
maksimum	maximum
maktelös	powerless
maktig	powerful
mala	grind
malaria	malaria
Malaysia	Malaysia
malaysier	Malay
malaysisk	Malaysian
maler	painter
maleri	painting
maleri, ilustrasjon	picture
maleriar	pictures
malignant	malignant
maling/mala	paint (n/v)
malm	ore
malnutrisjon	malnutrition
malplasera	misplace
malplaserad	misplaced (a)
malut-tala	mispronounce
mamall	mammal
mammut	mammoth
man	man
manar	men
mandarin	tangerine
mandarinn	mandarin (n)
mandat	mandate
mandel	almond
manekinn	mannequin
manerar	manners
manet	jellyfish
mange	many
mangel	deficiency
mangel	shortcoming
mangel/mangla	lack (n/v)
mangel/mangla	lack
manglande	missing
mani	craze (n)
manikiurr	manicure
mans	man's
mans	one's
mansjett	cuff
manskap	crew
mantenera	maintain
mantenering	maintenance
mantenering	upkeep
manuell/handbok	manual (a/n)
manuskript	manuscript
marg	margin
margarinn	margarine
marine-	naval
maritimm	maritime
marked	market
markera/merke	mark (v/n)
markise	awning
marmelade	marmalade
marmor	marble
marokansk/marokan	Moroccan
Maroko	Morocco
mars	March
marsj/era	march (n/v)
marsvin, forsöks-animal	guinea-pig
martell	mallet
martirr	martyr
masasje	massage (n)
masasjera	massage (v)
masjin/motor/lokomotiv	engine
masjineri	machinery
masjinn, aparatt	machine
masjinskrivad	typewritten
masjinskriver	typist
maska/nett	mesh (v/n)
maskara	mascara
maske/ra	mask (n/v)
maskulin	masculine
masörr	masseur
masse	mass
masse	bulk
massiv	massive
mast	mast
mat forgiftning	food poisoning
mata/mate	feed
matbit	snack
matematikk	mathematics
matematisk	mathematical
materia	matter
material	material (n)
material/fiulla	stuff (n/v)
materialar	materials
materiar	matters
materie	pus
materiell	material (a)
matolje	salad oil
matrimonial	matrimonial
matrimonie	matrimony
matsjej	tablespoon
matt	dull
matur	mature
maturitet	maturity
maturr	ripe
matvarar	foodstuffs
matvarar	groceries
matvareforretning	grocer's
matvarehandler	grocer
maur	ant
mausoleum	mausoleum
med	with
med de ström	downstream
med rajt	rightly
medaljonn	medal
medan	whilst
medan, durant	During
medan/stund	While (adv/n)
medbrotsling	accessary
medeland	message
mediatera	mediate
mediaterer	mediator
medisinisk doktor	physician
medisinn	medicine
medisinsk	medical
meditera	meditate
mediteransk	mediterranean
medlem	member
medlemar	members
medlemskap	membership
medmindra	unless
megabajt	megabyte
megler	broker
meieri	dairy
mej	me
mej	myself
mejsel	chisel
mekaniker	mechanic
mekanisk	mechanical
mekanisme	mechanism
mektig	mighty
mel	flour
melan	between
melanetasje	mezzanine
melankoli	melancholy
melanman	intermediary
melanspil	interlude
melantid	meantime
melk	milk
melkaktig	milky
melkman	milkman
melodi	melody
melodi	tune
melodisk	tuneful
melodrama	melodrama
melon	melon
memorandum	memo
memori	memory
memori-verdig	memorable
memorial	memorial
memorisera	memorize
men	but
mena, betia	mean
mena/medel	means (v/n)
menad	meant
meneskhet, humanitet	humanity
mengde	lot
mengde, folkemengde	crowd
mening	meaning
meningslös	meaningless
meningslös	senseless
menisklig/meniske	human (a/n)
meniu	menu
menneskehet	mankind
menstruasjon	menstruation
mental	mental
mer	more
merit/era	merit (n/v)
merka	sense (v)
merka/notijs	notice (v/n)
merkad	marked
merkbar	noticeable
merke/brenmerke	brand
merkelig, vundrelig	queer
mesing	brass
meslinger	measles
messe	Mass
mest	most
mester	Master
mesur-band	tape-measure
mesur/a	measure
mesurad	measured
metal	Metal
meter	meter (meas.)
meterar	yards
metoda	method
metodar	methods
metodisk	methodical
metrisk	metric
mexikansk/mexikaner	Mexican
Mexiko	Mexico
middag	midday
middag, tolv kloken	noon
midelaldersk	medieval
midje	waist
midnatt	midnight
midsomer	midsummer
midte	midst
midte	Middle
migrene	migraine
migrera, vandra	migrate
mike	very
mike	much
mikrofon	microphone
mikrovogovn	microwave oven
miksa	mix
miksad	mixed
mikser	mixer
miksing	mixture
milar	Miles
mild	mild
mild	gentle
mile	mile
milestejn	milestone
militerr	military
miljö	milieu
miljö	environment
miljon	million
miljonerr	millionaire
min	mine
min	my
min herr	Sir
mindre	less
minerall	mineral
miniatiur	miniature
minimum	minimum
minimum	minimum
ministerr	Minister
mink	mink
minka/nedgang	decrease
minor, mindre	minor
minoritet	minority
minska, forminska	lessen
minska, subtrakta	subtract
minst	least
minus	minus
minutt	minute
minuttar	minutes
mir	bog
mirakel	miracle
mirakulös	miraculous
misbruk	abuse
misbruk	misuse (n)
miserable	miserable
miserr	misery
misfornöud	discontented
misforstoa	misunderstand
misforstoing	misunderstanding
mishaga	displease
misjon	Mission
mislika/mislike, antipatiedislike (v/n)
mista	miss (v)
mistanke, mistro	suspicion
Mister	Mr
misteriös	mysterious
misterium	mystery
mistiker	mystic
mistiker	mystic
mistinksam, mistinkad	suspicious
mistro/a	mistrust (n/v)
misunna/misunne	grudge (v/n)
miude	myth
miudisk	mythical
miunt	coin
miunte	mint (n)
miutini	mutiny
mjuk	soft
mjukjöra	soften
mobil	mobile (adj)
möblar	furniture
moda	fashion
mödad	met
mode	manner
möde	meeting
modelera/forma	model (v)
modell/manekeng	model (n)
moderatt	moderate (adj)
moderera	moderate (v)
moderne	modern
moderne	fashionable
modest	modest
modesti	modesty
modifisera	modify
modig	plucky
modig	brave
modist	milliner
mohair	mohair
moka	mock
moke	gull
mokeri	mockery
mökk	muck
mol	goal
mol	goal
möl	moth
mola-instrument	gauge (n)
molar	molar
mölber	mulberry
moler	meter (guage)
mölle	mill
möller	miller
molman	goalkeeper
molo	jetty
moltavle	target
moltid	meal
moment	moment
momentarig	momentary
monad	month
monadar	months
monadlig	monthly
monark	monarch
monarki	monarchy
monasteri	monastery
mondag	Monday
mone	moon
monesjin	moonlight
monitor/monitera	monitor (n/v)
monolog	monologue
monopol	monopoly
monoton	monotonous
mönster/motiv	pattern
montanerr	mountaineer
montann	mountain
montanös	mountainous
monter	showcase
monument	monument
moped	moped
moped	motorbike
mor	mother
moral/-sk	moral (n/adj)
moralitet	morality
mord	assassination
mord/a	murder
morder	murderer
morfin	morphine
morfin	morphia
morgen	morning
morgenkope	dressing-gown
mörk	dark
mörke	gloom
mörkig	gloomy
moro	fun
mortel	mortar (grind)
mosaikk	mosaic
mose	moss
mosja	mash
mosjon	motion
moskej	mosque
moskito	mosquito
moste	must
mot	against
mot	toward
mot de ström	upstream
möta	meet
möta/möte	encounter (v/n)
mote	fashion
motell	motel
motiv	motive
motor	motor
motorbot	motorboat
motorsikkel	motorcycle
motorvej	motorway
motorvej	turnpike
motsaga	contradict
motsagand	contradictory
motsat	contrary
motte	may (subj, wish)
motto	motto
motvile	antipathy
motville	aversion
mova	move
movad	moved
movande	moving
movbar	movable
movment	movement
mufler	muffler
mug	mildew
mugen	mouldy
mugge	jug
mulesel	mule
muletfisk	mullet
mulig	feasible
mulig	realizable
mulig	possible
mulighet	possibility
muligt	possibly
multiplikasjon	multiplication
multiplisera	multiply
mund	mouth
mundvaten	mouthwash
munisipalitet	municipality
munisipall	municipal
munk	monk
munter	merry
munter/homosexuell	gay
munterhet	mirth
munterhet	gaiety
mur, vegg	wall
murar, veggar	walls
murer	bricklayer
murstejn	brick
murverk/mura	mortar (wall) (n/v)
mus	mouse
museum	museum
musikalsk/musikall	musical (a/n)
musiker	musician
musikk	Music
musjrom	mushroom
muskattnöt	nutmeg
muskel	muscle
muskulös	muscular
muslim	Muslim
musselin	muslin
mustard	mustard
mustasj	moustache
mut	roach
mutonn	mutton
mutuell	mutual
nabo	neighbor
nabo-	next-door
nabolag	neighborhood
naiv	naive
naken	naked
naken	bare
naken	nude
nakkestöte	headrest
nam	name
namar	names
naplur/a	nap (n/v)
narkose	narcosis
narkotika/medisin	drug
narkotisk	narcotic
nasjon	nation
nasjonal	national
nasjonalisera	nationalize
nasjonalitet	nationality
nasjonar	nations
nativ	native
natt, kvel	night
nattergal	nightingale
nattklub	nightclub
nattkule	nightgown
nattlig	nightly
natur	nature
naturlig	NATURAL
naturlig	naturally
naturvetenskap, fisikk	physics
nausej	nausea
navigasjon	navigation
navigera	navigate
navle	navel
neb	beak
ned	downstairs
ned	down
ned going	descent
nedlada	download
nedover	downwards
negativ	negative
neglekta	neglect
neglisjej	negligee
negrar	Negroes
negro	Negro
nej/ingen	no
nejl	nail (finger)
nejlbörste	nailbrush
nejlfil	nail-file
nejllakk	nailpolish
nejlsaks	nail scissors
nemlig	namely
neon	neon
nepe	hardly
ner/da	when (int/rel)
ner/luka	close (a/v)
nera	close (adj)
nerabilde	close-up
